function,eps,n_hits,tau_first,tau_median,tau_max,tail_start,p_hat,p_lcb,a_env,clustering,L2_rate,L3_rate,gamma,N_tau_median,n_clust_med_r10,beta1_med_r10,diameter_med_r10
cec2017_f1,0.01,51,225.0,242.0,262.0,225.0,0.05561735261401557,0.04358875921368557,0.013515170267812016,0.6776738634077046,0.9735454029051367,1.0,0.9735454029051367,117.0,117.0,1.0,0.333133930572059
cec2017_f1,1.0,51,192.0,204.0,223.0,192.0,0.0708215297450425,0.05559254914360309,0.013515170267812016,0.6092501834367942,0.9687948693404805,1.0,0.9687948693404805,125.0,125.0,1.0,3.2746803825323725
cec2017_f1,10.0,51,171.0,186.0,209.0,171.0,0.05917159763313609,0.04639140840342443,0.008131160717433694,0.44610281074078306,0.9657383079348397,1.0,0.9657383079348397,129.0,129.0,1.0,10.146109745893165
cec2017_f1,100.0,51,152.0,169.0,189.0,152.0,0.0556792873051225,0.04363757901070093,0.006780573220505293,0.4493190705875161,0.9620886149552274,1.0,0.9620886149552274,133.0,118.0,0.8939393939393939,18.97947634601182
cec2017_f1,400.0,51,146.0,158.0,176.0,146.0,0.07451564828614009,0.05851492436403976,0.006711611620731306,0.48038446141526137,0.9595834366476569,1.0,0.9595834366476569,136.0,92.0,0.6764705882352942,19.33205182974236
cec2017_f5,0.01,0,,,,0.0,0.0,0.0,0.0,,0.5461006409036107,0.0769718890792563,0.03828197945845005,,,,
cec2017_f5,1.0,2,1311.0,1357.5,1404.0,1311.0,2.389886002437684e-05,1.225850511401872e-06,0.00021720981854711496,,0.5452613567367666,0.07811263822192784,0.03884933119905797,16.5,1.0,0.06111111111111111,0.0
cec2017_f5,10.0,51,177.0,297.0,377.0,177.0,0.008157937673356175,0.006362655838381186,0.0011656627872941305,0.8598671607846955,0.6357497517378351,0.5140681893412777,0.276266137040715,106.0,1.0,0.009433962264150943,0.0
cec2017_f5,100.0,51,0.0,3.0,5.0,0.0,0.24120603015075376,0.19195783353704135,0.08333333333333337,0.33333333333333337,1.0,1.0,1.0,179.0,1.0,0.00558659217877095,0.0
cec2017_f5,400.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,180.0,1.0,0.005555555555555556,0.0
