run,tau,tau_out,hit,hit_out,n_at_risk,G2G3_rate,G4_rate,G5_rate,Ghat_rate,gamma0_mean,any_G4,any_Ghat,any_gamma0_pos,Twit
0,inf,inf,False,False,2164,0.9510166358595195,0.0,1.0,0.0,0.0,False,False,False,inf
1,inf,inf,False,False,2164,0.9380776340110906,0.0,1.0,0.0,0.0,False,False,False,inf
2,inf,inf,False,False,2164,0.9477818853974121,0.0,1.0,0.0,0.0,False,False,False,inf
3,inf,inf,False,False,2164,0.9463955637707948,0.0,1.0,0.0,0.0,False,False,False,inf
4,inf,inf,False,False,2164,0.9477818853974121,0.0,1.0,0.0,0.0,False,False,False,inf
5,inf,inf,False,False,2164,0.9505545286506469,0.0,1.0,0.0,0.0,False,False,False,inf
6,inf,inf,False,False,2164,0.9459334565619224,0.0,1.0,0.0,0.0,False,False,False,inf
7,inf,inf,False,False,2164,0.9426987060998152,0.0,1.0,0.0,0.0,False,False,False,inf
8,inf,inf,False,False,2164,0.9339186691312384,0.0,1.0,0.0,0.0,False,False,False,inf
9,inf,inf,False,False,2164,0.9413123844731978,0.0,1.0,0.0,0.0,False,False,False,inf
10,inf,inf,False,False,2164,0.9459334565619224,0.0,1.0,0.0,0.0,False,False,False,inf
11,inf,inf,False,False,2164,0.9385397412199631,0.0,1.0,0.0,0.0,False,False,False,inf
12,inf,inf,False,False,2164,0.9380776340110906,0.0,1.0,0.0,0.0,False,False,False,inf
13,inf,inf,False,False,2164,0.9524029574861368,0.0,1.0,0.0,0.0,False,False,False,inf
14,inf,inf,False,False,2164,0.9510166358595195,0.0,1.0,0.0,0.0,False,False,False,inf
15,inf,inf,False,False,2164,0.9560998151571165,0.0,1.0,0.0,0.0,False,False,False,inf
16,inf,inf,False,False,2164,0.9353049907578558,0.0,1.0,0.0,0.0,False,False,False,inf
17,inf,inf,False,False,2164,0.9491682070240296,0.0,1.0,0.0,0.0,False,False,False,inf
18,inf,inf,False,False,2164,0.9413123844731978,0.0,1.0,0.0,0.0,False,False,False,inf
19,inf,inf,False,False,2164,0.9505545286506469,0.0,1.0,0.0,0.0,False,False,False,inf
20,inf,inf,False,False,2164,0.9403881700554528,0.0,1.0,0.0,0.0,False,False,False,inf
21,inf,inf,False,False,2164,0.9468576709796673,0.0,1.0,0.0,0.0,False,False,False,inf
22,132.0,103.0,True,True,132,0.0,0.2196969696969697,1.0,0.0,0.0,True,False,False,159.0
23,inf,inf,False,False,2164,0.9348428835489834,0.0,1.0,0.0,0.0,False,False,False,inf
24,inf,inf,False,False,2164,0.9376155268022182,0.0,1.0,0.0,0.0,False,False,False,inf
25,inf,inf,False,False,2164,0.9533271719038817,0.0,1.0,0.0,0.0,False,False,False,inf
26,inf,inf,False,False,2164,0.944547134935305,0.0,1.0,0.0,0.0,False,False,False,inf
27,inf,inf,False,False,2164,0.9316081330868762,0.0,1.0,0.0,0.0,False,False,False,inf
28,inf,inf,False,False,2164,0.9431608133086876,0.0,1.0,0.0,0.0,False,False,False,inf
29,inf,inf,False,False,2164,0.9468576709796673,0.0,1.0,0.0,0.0,False,False,False,inf
30,inf,inf,False,False,2164,0.9440850277264325,0.0,1.0,0.0,0.0,False,False,False,inf
31,inf,inf,False,False,2164,0.9417744916820703,0.0,1.0,0.0,0.0,False,False,False,inf
32,inf,inf,False,False,2164,0.9533271719038817,0.0,1.0,0.0,0.0,False,False,False,inf
33,inf,inf,False,False,2164,0.9473197781885397,0.0,1.0,0.0,0.0,False,False,False,inf
34,inf,inf,False,False,2164,0.9510166358595195,0.0,1.0,0.0,0.0,False,False,False,inf
35,inf,inf,False,False,2164,0.9482439926062847,0.0,1.0,0.0,0.0,False,False,False,inf
36,inf,inf,False,False,2164,0.944547134935305,0.0,1.0,0.0,0.0,False,False,False,inf
37,inf,inf,False,False,2164,0.9431608133086876,0.0,1.0,0.0,0.0,False,False,False,inf
38,inf,inf,False,False,2164,0.9560998151571165,0.0,1.0,0.0,0.0,False,False,False,inf
39,inf,inf,False,False,2164,0.9325323475046211,0.0,1.0,0.0,0.0,False,False,False,inf
40,inf,inf,False,False,2164,0.9454713493530499,0.0,1.0,0.0,0.0,False,False,False,inf
41,inf,inf,False,False,2164,0.9459334565619224,0.0,1.0,0.0,0.0,False,False,False,inf
42,inf,inf,False,False,2164,0.9542513863216266,0.0,1.0,0.0,0.0,False,False,False,inf
43,inf,inf,False,False,2164,0.9371534195933456,0.0,1.0,0.0,0.0,False,False,False,inf
44,inf,inf,False,False,2164,0.9426987060998152,0.0,1.0,0.0,0.0,False,False,False,inf
45,144.0,101.0,True,True,144,0.0,0.2986111111111111,1.0,0.0,0.0,True,False,False,175.0
46,inf,inf,False,False,2164,0.9440850277264325,0.0,1.0,0.0,0.0,False,False,False,inf
47,inf,inf,False,False,2164,0.9477818853974121,0.0,1.0,0.0,0.0,False,False,False,inf
48,inf,inf,False,False,2164,0.9417744916820703,0.0,1.0,0.0,0.0,False,False,False,inf
49,inf,inf,False,False,2164,0.9482439926062847,0.0,1.0,0.0,0.0,False,False,False,inf
50,inf,inf,False,False,2164,0.9325323475046211,0.0,1.0,0.0,0.0,False,False,False,inf
